gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season,player_efficiency,normalized_pts
22300062,2023-10-24,regular,203967,Dario Saric,GSW,GSW,PHX,20,7,3,11,0.2727272727272727,1,3,0.3333333333333333,0,0,,4,3,7,1,0,2,0,3,7,0,2024,17,-0.18009083687836322
22300062,2023-10-24,regular,1630541,Moses Moody,GSW,GSW,PHX,18,11,4,6,0.6666666666666666,2,4,0.5,1,2,0.5,1,2,3,0,3,1,1,1,-6,0,2024,17,0.562820438783873
22300062,2023-10-24,regular,1627780,Gary Payton II,GSW,GSW,PHX,22,1,0,5,0.0,0,2,0.0,1,2,0.5,0,2,2,2,3,0,0,1,15,0,2024,8,-1.0864150658300373
22300062,2023-10-24,regular,202709,Cory Joseph,GSW,GSW,PHX,4,0,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,-12,0,2024,2,-0.9880775789804909
22300062,2023-10-24,regular,101108,Chris Paul,GSW,GSW,PHX,34,14,4,15,0.26666666666666666,0,6,0.0,6,7,0.8571428571428571,1,5,6,9,2,0,1,0,5,0,2024,30,0.9917840736146285
22300062,2023-10-24,regular,1630228,Jonathan Kuminga,GSW,GSW,PHX,20,12,4,8,0.5,0,0,,4,6,0.6666666666666666,3,3,6,1,2,1,2,5,4,0,2024,20,-0.5927936184908853
22300062,2023-10-24,regular,201939,Stephen Curry,GSW,GSW,PHX,31,27,8,20,0.4,4,14,0.2857142857142857,7,7,1.0,1,4,5,1,1,0,2,5,-9,0,2024,32,0.06574356382828835
22300062,2023-10-24,regular,1629642,Nassir Little,PHX,GSW,PHX,3,3,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,1,0,0,1,-3,1,2024,5,-0.1102541349137733
22300062,2023-10-24,regular,203994,Jusuf Nurkic,PHX,GSW,PHX,28,14,5,8,0.625,1,2,0.5,3,3,1.0,3,11,14,3,0,1,1,5,2,1,2024,31,0.5093167670814263
22300062,2023-10-24,regular,1629139,Yuta Watanabe,PHX,GSW,PHX,18,8,3,5,0.6,2,4,0.5,0,0,,0,4,4,0,0,1,1,2,7,1,2024,12,1.3872401686007065
22300062,2023-10-24,regular,201142,Kevin Durant,PHX,GSW,PHX,37,18,7,22,0.3181818181818182,1,2,0.5,3,5,0.6,2,9,11,3,0,1,2,1,0,1,2024,31,-1.223091400276505
