gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
22300008,2023-11-10,regular,1610612755,PHI,DET,PHI,48.0,114.0,35.0,83.0,42.2,9.0,28.0,32.1,35.0,41.0,85.4,11.0,35.0,46.0,23.0,9.0,13.0,5.0,23.0,8.0,1.0,2024
22300009,2023-11-10,regular,1610612766,CHA,WAS,CHA,48.0,124.0,50.0,110.0,45.5,6.0,28.0,21.4,18.0,28.0,64.3,28.0,39.0,67.0,31.0,10.0,10.0,4.0,19.0,7.0,1.0,2024
22300009,2023-11-10,regular,1610612764,WAS,WAS,CHA,48.0,117.0,43.0,88.0,48.9,14.0,38.0,36.8,17.0,20.0,85.0,7.0,29.0,36.0,28.0,15.0,4.0,6.0,23.0,-7.0,0.0,2024
22300010,2023-11-10,regular,1610612751,BKN,BOS,BKN,48.0,107.0,38.0,85.0,44.7,15.0,37.0,40.5,16.0,18.0,88.9,9.0,37.0,46.0,26.0,12.0,0.0,3.0,25.0,-14.0,0.0,2024
22300010,2023-11-10,regular,1610612738,BOS,BOS,BKN,48.0,121.0,41.0,94.0,43.6,19.0,52.0,36.5,20.0,28.0,71.4,17.0,35.0,52.0,29.0,8.0,5.0,3.0,13.0,14.0,1.0,2024
22300011,2023-11-10,regular,1610612745,HOU,HOU,NOP,48.0,104.0,36.0,88.0,40.9,10.0,35.0,28.6,22.0,28.0,78.6,9.0,33.0,42.0,20.0,9.0,9.0,5.0,22.0,3.0,1.0,2024
22300011,2023-11-10,regular,1610612740,NOP,HOU,NOP,48.0,101.0,34.0,75.0,45.3,8.0,25.0,32.0,25.0,34.0,73.5,8.0,41.0,49.0,12.0,18.0,6.0,6.0,26.0,-3.0,0.0,2024
22300012,2023-11-10,regular,1610612763,MEM,MEM,UTA,48.0,121.0,46.0,101.0,45.5,19.0,48.0,39.6,10.0,13.0,76.9,14.0,23.0,37.0,23.0,11.0,5.0,5.0,23.0,-6.0,0.0,2024
22300012,2023-11-10,regular,1610612762,UTA,MEM,UTA,48.0,127.0,41.0,76.0,53.9,18.0,37.0,48.6,27.0,29.0,93.1,8.0,30.0,38.0,28.0,21.0,10.0,12.0,17.0,6.0,1.0,2024
22300013,2023-11-10,regular,1610612750,MIN,SAS,MIN,48.0,117.0,43.0,87.0,49.4,10.0,27.0,37.0,21.0,27.0,77.8,13.0,38.0,51.0,23.0,18.0,6.0,4.0,19.0,7.0,1.0,2024
22300013,2023-11-10,regular,1610612759,SAS,SAS,MIN,48.0,110.0,43.0,92.0,46.7,12.0,34.0,35.3,12.0,19.0,63.2,7.0,31.0,38.0,29.0,14.0,9.0,8.0,21.0,-7.0,0.0,2024
22300014,2023-11-10,regular,1610612742,DAL,DAL,LAC,48.0,144.0,51.0,98.0,52.0,19.0,42.0,45.2,23.0,26.0,88.5,15.0,26.0,41.0,30.0,9.0,7.0,1.0,23.0,18.0,1.0,2024
22300014,2023-11-10,regular,1610612746,LAC,DAL,LAC,48.0,126.0,43.0,88.0,48.9,8.0,27.0,29.6,32.0,36.0,88.9,19.0,28.0,47.0,21.0,14.0,7.0,2.0,27.0,-18.0,0.0,2024
22300015,2023-11-10,regular,1610612747,LAL,PHX,LAL,48.0,122.0,42.0,84.0,50.0,12.0,27.0,44.4,26.0,34.0,76.5,9.0,34.0,43.0,27.0,11.0,9.0,7.0,20.0,3.0,1.0,2024
22300015,2023-11-10,regular,1610612756,PHX,PHX,LAL,48.0,119.0,42.0,94.0,44.7,15.0,37.0,40.5,20.0,27.0,74.1,17.0,35.0,52.0,22.0,13.0,9.0,1.0,24.0,-3.0,0.0,2024
22300016,2023-11-10,regular,1610612760,OKC,SAC,OKC,48.0,98.0,39.0,87.0,44.8,7.0,30.0,23.3,13.0,16.0,81.3,5.0,33.0,38.0,22.0,16.0,9.0,5.0,15.0,-7.0,0.0,2024
22300016,2023-11-10,regular,1610612758,SAC,SAC,OKC,48.0,105.0,38.0,91.0,41.8,13.0,47.0,27.7,16.0,21.0,76.2,16.0,36.0,52.0,28.0,18.0,10.0,9.0,22.0,7.0,1.0,2024
22300173,2023-11-11,regular,1610612749,MIL,ORL,MIL,48.0,97.0,38.0,77.0,49.4,9.0,29.0,31.0,12.0,25.0,48.0,5.0,31.0,36.0,25.0,19.0,9.0,6.0,24.0,-15.0,0.0,2024
22300173,2023-11-11,regular,1610612753,ORL,ORL,MIL,48.0,112.0,36.0,84.0,42.9,10.0,26.0,38.5,30.0,35.0,85.7,15.0,28.0,43.0,24.0,16.0,9.0,2.0,17.0,15.0,1.0,2024
22300174,2023-11-11,regular,1610612738,BOS,BOS,TOR,48.0,117.0,47.0,86.0,54.7,15.0,44.0,34.1,8.0,13.0,61.5,5.0,41.0,46.0,30.0,13.0,1.0,4.0,14.0,23.0,1.0,2024
22300174,2023-11-11,regular,1610612761,TOR,BOS,TOR,48.0,94.0,35.0,91.0,38.5,10.0,37.0,27.0,14.0,16.0,87.5,7.0,30.0,37.0,25.0,9.0,8.0,1.0,14.0,-23.0,0.0,2024
