gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,home_game,normalized_pts,win_encoded
22300002,2023-11-03,regular,1610612749,MIL,MIL,NYK,48.0,110.0,35.0,82.0,0.4268292682926829,20.0,39.0,0.5128205128205128,20.0,28.0,0.7142857142857143,7.0,34.0,41.0,24.0,14.0,6.0,11.0,16.0,5.0,1.0,2024,1,-0.6713096992006781,1
22300002,2023-11-03,regular,1610612752,NYK,MIL,NYK,48.0,105.0,38.0,96.0,0.3958333333333333,10.0,39.0,0.2564102564102564,19.0,25.0,0.76,16.0,40.0,56.0,18.0,11.0,6.0,1.0,22.0,-5.0,0.0,2024,0,-0.6377023834430542,0
22300003,2023-11-03,regular,1610612748,MIA,MIA,WAS,48.0,121.0,48.0,80.0,0.6,13.0,27.0,0.48148148148148145,12.0,14.0,0.8571428571428571,7.0,30.0,37.0,35.0,21.0,9.0,1.0,18.0,7.0,1.0,2024,1,0.9600104194906672,1
22300003,2023-11-03,regular,1610612764,WAS,MIA,WAS,48.0,114.0,46.0,81.0,0.5679012345679012,13.0,28.0,0.4642857142857143,9.0,17.0,0.5294117647058824,4.0,26.0,30.0,33.0,20.0,7.0,4.0,18.0,-7.0,0.0,2024,0,0.024314977970158358,0
22300004,2023-11-03,regular,1610612751,BKN,CHI,BKN,48.0,109.0,44.0,96.0,0.4583333333333333,18.0,45.0,0.4,3.0,5.0,0.6,8.0,31.0,39.0,32.0,11.0,4.0,4.0,12.0,2.0,1.0,2024,0,-0.09915703450498185,1
22300004,2023-11-03,regular,1610612741,CHI,CHI,BKN,48.0,107.0,43.0,89.0,0.48314606741573035,11.0,28.0,0.39285714285714285,10.0,14.0,0.7142857142857143,9.0,33.0,42.0,21.0,10.0,4.0,4.0,13.0,-2.0,0.0,2024,1,-0.4593849882078148,0
22300005,2023-11-03,regular,1610612744,GSW,OKC,GSW,48.0,141.0,49.0,92.0,0.532608695652174,18.0,40.0,0.45,25.0,30.0,0.8333333333333334,13.0,25.0,38.0,36.0,15.0,9.0,2.0,25.0,2.0,1.0,2024,0,1.9698135281929723,1
22300005,2023-11-03,regular,1610612760,OKC,OKC,GSW,48.0,139.0,50.0,83.0,0.6024096385542169,15.0,29.0,0.5172413793103449,24.0,30.0,0.8,7.0,25.0,32.0,26.0,19.0,3.0,1.0,20.0,-2.0,0.0,2024,1,1.5879434859136183,0
22300006,2023-11-03,regular,1610612742,DAL,DEN,DAL,48.0,114.0,41.0,86.0,0.47674418604651164,17.0,42.0,0.40476190476190477,15.0,17.0,0.8823529411764706,10.0,24.0,34.0,27.0,15.0,12.0,6.0,19.0,-11.0,0.0,2024,0,-0.27000422358091564,0
22300006,2023-11-03,regular,1610612743,DEN,DEN,DAL,48.0,125.0,49.0,93.0,0.5268817204301075,13.0,30.0,0.43333333333333335,14.0,19.0,0.7368421052631579,19.0,32.0,51.0,33.0,20.0,11.0,6.0,17.0,11.0,1.0,2024,1,0.8210372325370348,1
